Time (s), Acceleration x (m/s^2), Acceleration y (m/s^2), Acceleration z (m/s^2), Angular velocity p (rad/s), Angular velocity q (rad/s), Angular velocity r (rad/s), Magnetic field x (muT), Magnetic field y (muT), Magnetic field z (muT), Roll angle phi (deg), Pitch angle theta (deg), Yaw angle psi (deg), GPS Latitude (DDMM.MMMM), GPS Longiude (DDMM.MMMM), GPS Altitude (cm), GPS Speed (knots), GPS Heading (deg), GPS Number of Satellites
1.07, -1.41, 0.12, 11.85, -0.01, 0.09, -0.03, 16.55, 10.00, -54.29, -1.89, 1.88, -26.31, 
1.57, 0.08, 0.67, 9.96, -0.01, 0.08, -0.03, 16.73, 10.27, -54.18, 3.83, -0.45, -44.80, 
2.07, -0.24, -0.12, 11.41, -0.01, 0.09, -0.02, 16.55, 9.73, -53.88, -0.66, 1.33, -31.11, 
2.57, -0.27, -0.20, 10.83, -0.00, 0.09, -0.02, 16.82, 10.09, -54.18, -0.22, 0.88, -32.56, 
3.07, -0.20, 0.00, 10.51, -0.01, 0.09, -0.02, 16.45, 9.73, -53.98, 0.00, 1.07, -33.97, 
3.57, -0.20, -0.04, 10.43, -0.01, 0.09, -0.03, 16.91, 9.82, -53.78, -0.22, 1.08, -32.31, 
4.07, -0.71, -0.08, 11.34, -0.00, 0.09, -0.03, 16.64, 9.82, -54.08, 0.44, -0.66, -31.92, 
4.57, 0.00, -0.04, 10.47, -0.01, 0.09, -0.04, 16.82, 10.09, -54.08, -0.21, -0.43, -28.79, 
5.08, -0.04, 0.00, 10.40, -0.01, 0.09, -0.12, 16.36, 10.27, -53.98, 0.00, 0.22, -32.77, 
5.58, 0.08, -0.04, 9.61, 0.00, 0.11, -0.29, 16.64, 11.82, -53.78, -0.23, -0.47, -33.01, 
6.08, -0.27, -0.47, 9.53, -0.02, 0.09, -0.42, 15.27, 14.55, -53.67, -2.67, 0.21, -32.59, 
6.58, -0.31, -0.31, 10.51, 0.01, 0.10, -0.65, 12.27, 17.18, -53.67, 0.88, -0.00, -56.91, 
7.08, -0.67, -0.12, 9.49, 0.03, 0.09, -0.42, 8.27, 19.00, -54.08, -0.71, 4.02, -87.90, 
7.58, -0.27, -0.71, 10.87, 0.01, 0.10, -0.46, 6.73, 18.91, -55.20, -5.17, 3.28, -87.87, 
8.08, -0.08, -0.55, 12.04, -0.01, 0.07, -0.70, 2.36, 19.09, -56.73, -1.97, -0.25, -79.35, 
8.58, 0.24, -0.39, 10.36, 0.02, 0.09, -0.78, -3.82, 18.27, -58.88, -2.60, -0.65, -100.86, 
9.08, -0.31, -0.31, 9.81, 0.00, 0.09, -0.43, -8.64, 15.55, -60.61, -1.83, 1.83, -137.01, 
9.59, 0.00, -0.12, 10.04, -0.03, 0.08, 0.12, -9.82, 14.82, -61.63, 1.27, 1.48, -126.52, 
10.09, -0.63, 0.00, 12.20, -0.00, 0.08, 0.30, -8.91, 15.82, -61.84, 0.44, 5.29, -140.33, 
10.59, -1.61, -1.14, 19.38, -0.02, 0.10, 0.30, -7.73, 17.18, -61.73, -3.36, 4.74, -150.93, 
11.09, -0.63, 0.35, 11.30, 0.00, 0.08, 0.15, -5.91, 18.00, -60.61, 1.79, 3.18, -120.02, 
11.59, 0.04, -0.39, 11.57, -0.00, 0.08, -0.03, -7.00, 17.09, -58.98, 1.68, -0.00, -108.83, 
12.09, 0.00, -0.27, 9.77, 0.00, 0.10, -0.07, -6.73, 14.55, -57.04, -0.44, 0.22, -117.64, 
12.59, -0.24, -0.24, 11.53, 0.01, 0.08, -0.02, -4.45, 14.36, -55.20, -1.17, 1.17, -119.00, 
